# Reference QAOA results — satisfaction fractions and optimised angles
# Source: QOKit max_k_xor_sat module (C++ tensor contraction, double-double precision)
# Convention: phase gate e^{-i*(gamma/2)*Z^k}, mixer Rx(2*beta)
# gamma and beta fields use ; as separator for multiple depth values
# All configurations use clause_sign = +1 (XORSAT)
# Format: k,D,p,ctilde,source,gamma,beta
2,3,1,0.692450089730,qokit-cpp-dd,0.615479708669823,0.392699081584979
3,4,11,0.872489617597,qokit-cpp-dd,0.227691923751675;0.423888969420162;0.468531730451529;0.490208088273825;0.501273408848449;0.509835435234113;0.520684715768206;0.538784387239472;0.58055800680784;0.646476925781965;0.745151627701711,0.382455095527166;0.313163424226381;0.291043063329226;0.284036717742933;0.279846243621185;0.275735357647022;0.269183722360993;0.256312318453148;0.229158875432638;0.187216781969712;0.0895991985968615
3,4,12,0.876904483483,qokit-cpp-dd,0.221454885453883;0.414398708118461;0.459129111940544;0.480729409106554;0.49070311708888;0.497566836262748;0.505047989270083;0.515884192527893;0.53476047016272;0.578764019263481;0.64613112806994;0.745241118853316,0.381068670921369;0.31091214168173;0.288763270452141;0.281994578385211;0.278391738186205;0.275841626514855;0.272109970870949;0.265316094348304;0.251646269698172;0.223862744472714;0.181414993206281;0.0857621317606141
3,4,13,0.880746144081,qokit-cpp-dd,0.215901529752935;0.406013986090491;0.451088781396593;0.472574094652096;0.481870152076456;0.487647558058625;0.493219910653059;0.500359625424748;0.511661065462174;0.531428946345962;0.577352808848345;0.646036276535773;0.745560097212107,0.379714165720863;0.30890256021017;0.286595934540166;0.279827357530265;0.276637356830532;0.274898567841383;0.272850865973978;0.269044297477051;0.261876371301355;0.247428619604061;0.219083179027446;0.176223310083288;0.0824147636918397
3,4,14,0.884120962614,qokit-cpp-dd,0.211053262669048;0.398541679148414;0.443817713918449;0.465437209036231;0.474341014184443;0.479248515394949;0.483561655439063;0.488722234309684;0.496072209157061;0.507927443927522;0.528619367000177;0.576338508553117;0.646228907466411;0.746068745331193,0.37843894912206;0.306915881221632;0.28445431590715;0.277689203499385;0.274654263384574;0.273393154295854;0.272304149159766;0.270346005382291;0.266240787019812;0.258606791144089;0.243438231761984;0.214576313221758;0.171358287251004;0.0793528009972403
3,4,15,0.887107762888,qokit-cpp-dd,0.205998235617672;0.391597459149069;0.436932923728774;0.458676261126597;0.467394768257971;0.471764660432184;0.47518990124736;0.479125734395979;0.484362754763227;0.492117755214285;0.50464294650791;0.526475250094101;0.575620793310397;0.646492542362987;0.74657724401952,0.377128897693241;0.304891216414237;0.28216599451171;0.275384066891427;0.272447661117072;0.271442204603402;0.270881537373125;0.269809033941844;0.26762005885496;0.263140104917187;0.254982305407217;0.239264041178912;0.209975030701722;0.166712739567507;0.0763150388949409
3,4,16,0.889763355069,qokit-cpp-dd,0.201666503657488;0.384342766122467;0.429904500273557;0.452224317735962;0.460608570607573;0.465015410053069;0.467782157090887;0.470723243938033;0.474400580891308;0.480009896874643;0.488201553070956;0.5021067127607;0.524572007162655;0.575156123496818;0.646929857255884;0.747126116348399,0.375851843768554;0.30310646950644;0.279962120485574;0.273032891038212;0.270042291286466;0.269252086790118;0.268995101318948;0.268512149703722;0.267238667537287;0.264730439318305;0.259762735855709;0.251065636399709;0.234970754202079;0.205276538548247;0.162130425936299;0.0734275537870727
3,5,1,0.655445198972,qokit-cpp-dd,0.48739680968939,0.287967826556018
3,5,2,0.711560547445,qokit-cpp-dd,0.373070873562012;0.628561180564494,0.358829505544903;0.210055407597312
3,5,3,0.745876642881,qokit-cpp-dd,0.319656854774986;0.543049152279495;0.62700687607702,0.379844893235441;0.287423833822427;0.173446678433274
3,5,4,0.768844086212,qokit-cpp-dd,0.286746739365548;0.490745952898387;0.553112346594592;0.628577583551296,0.384359887848129;0.308913177618946;0.256881978377235;0.149712033837839
3,5,5,0.785709729434,qokit-cpp-dd,0.264404920040937;0.458993531383035;0.502801789673435;0.555917422385279;0.630204862700318,0.386758078134689;0.315775841597962;0.279407537286499;0.237283599773537;0.132255673028472
3,5,6,0.798643359725,qokit-cpp-dd,0.247769737074405;0.434993076503929;0.473658353664829;0.504758966011232;0.5560455595735;0.631825874487207,0.387100131499182;0.317916474637257;0.289105369917777;0.262917033896845;0.221761046567337;0.119049428931979
3,5,7,0.808900419920,qokit-cpp-dd,0.234718282306456;0.416628318474626;0.452285380977222;0.476298035135389;0.503172394006877;0.556248666719705;0.633669800428112,0.386661876857917;0.317968058224963;0.29221624738571;0.276164989767077;0.250332887289017;0.208754630838408;0.108676951969559
3,5,8,0.817250838871,qokit-cpp-dd,0.2243381273405;0.401860488338263;0.436216506498728;0.456215241065757;0.474157273091564;0.501334461442804;0.557322507812197;0.635795631178628,0.385875158599304;0.316911400106883;0.292750479423195;0.280672277220402;0.266681909235483;0.239777910476657;0.197376980126589;0.100127025296157
3,5,9,0.824202507680,qokit-cpp-dd,0.215756481061922;0.389577033876326;0.42345998564457;0.441688995736319;0.454692418468393;0.471358862980395;0.500624387405435;0.560027845741696;0.639113049076355,0.384754989367141;0.315359780133117;0.292000935734966;0.282305142833506;0.272433505120596;0.258807400423222;0.230272060704336;0.186970602963174;0.0926988914612615
3,5,10,0.830103006379,qokit-cpp-dd,0.2087521110536;0.379448669880527;0.413056737579096;0.430378125555912;0.440808276866787;0.452004760204659;0.469670432776378;0.501465831074874;0.564575919077807;0.643980123340068,0.383658034361452;0.313628491683362;0.290645488448206;0.282227197689189;0.275047616762654;0.265608425194404;0.251492703002707;0.221055593331631;0.176938119883387;0.0859804868170185
3,5,11,0.835197226299,qokit-cpp-dd,0.202863695353291;0.370870669495243;0.404580668966987;0.421355483579058;0.4301975027073;0.43856444479867;0.450357224659284;0.469832143650468;0.50442407360507;0.571865975414068;0.651215542164961,0.38252396485389;0.311945400802536;0.289133598891198;0.281377116692772;0.275804307524041;0.269432993519633;0.259154215045043;0.244092078591455;0.211738602473971;0.166921385564904;0.0797149080200196
3,5,12,0.839663633120,qokit-cpp-dd,0.198012489984606;0.363726494666063;0.397613033984337;0.414098851007309;0.422037628822529;0.428477687012259;0.437102129654142;0.450638375398596;0.473198106692314;0.510498826974924;0.583443501161233;0.662285923235691,0.38144475756871;0.310389224717569;0.287592202818611;0.280235782677131;0.275654514218772;0.271083650185562;0.264094856824422;0.2522003972392;0.235800855459686;0.201403545594621;0.156004650107361;0.0735136836140427
